Time_step, Time, Epot, Ekin, Etot
168, 1.680000, -0.124948, 0.351738, 0.226790
169, 1.690000, -0.124845, 0.351641, 0.226796
170, 1.700000, -0.124741, 0.351543, 0.226802
171, 1.710000, -0.124637, 0.351445, 0.226808
172, 1.720000, -0.124532, 0.351346, 0.226814
173, 1.730000, -0.124427, 0.351247, 0.226820
174, 1.740000, -0.124322, 0.351148, 0.226826
175, 1.750000, -0.124215, 0.351048, 0.226832
176, 1.760000, -0.124109, 0.350947, 0.226838
177, 1.770000, -0.124001, 0.350846, 0.226845
178, 1.780000, -0.123894, 0.350744, 0.226851
179, 1.790000, -0.123785, 0.350642, 0.226857
180, 1.800000, -0.123677, 0.350540, 0.226863
181, 1.810000, -0.123567, 0.350437, 0.226869
182, 1.820000, -0.123458, 0.350333, 0.226876
183, 1.830000, -0.123347, 0.350229, 0.226882
184, 1.840000, -0.123236, 0.350125, 0.226888
185, 1.850000, -0.123125, 0.350020, 0.226895
186, 1.860000, -0.123013, 0.349914, 0.226901
187, 1.870000, -0.122901, 0.349808, 0.226908
188, 1.880000, -0.122788, 0.349702, 0.226914
189, 1.890000, -0.122675, 0.349595, 0.226921
190, 1.900000, -0.122561, 0.349488, 0.226927
191, 1.910000, -0.122446, 0.349380, 0.226934
192, 1.920000, -0.122331, 0.349272, 0.226940
193, 1.930000, -0.122216, 0.349163, 0.226947
194, 1.940000, -0.122100, 0.349054, 0.226953
195, 1.950000, -0.121984, 0.348944, 0.226960
196, 1.960000, -0.121867, 0.348834, 0.226967
197, 1.970000, -0.121750, 0.348723, 0.226973
198, 1.980000, -0.121632, 0.348612, 0.226980
199, 1.990000, -0.121513, 0.348500, 0.226987
200, 2.000000, -0.121395, 0.348388, 0.226994
201, 2.010000, -0.121275, 0.348276, 0.227000
202, 2.020000, -0.121156, 0.348163, 0.227007
203, 2.030000, -0.121035, 0.348049, 0.227014
204, 2.040000, -0.120915, 0.347936, 0.227021
205, 2.050000, -0.120793, 0.347821, 0.227028
206, 2.060000, -0.120672, 0.347706, 0.227035
207, 2.070000, -0.120550, 0.347591, 0.227042
208, 2.080000, -0.120427, 0.347476, 0.227049
209, 2.090000, -0.120304, 0.347359, 0.227056
210, 2.100000, -0.120180, 0.347243, 0.227063
211, 2.110000, -0.120056, 0.347126, 0.227070
212, 2.120000, -0.119932, 0.347008, 0.227077
213, 2.130000, -0.119807, 0.346891, 0.227084
214, 2.140000, -0.119681, 0.346772, 0.227091
215, 2.150000, -0.119555, 0.346653, 0.227098
